ID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
,1,2017-09-24 17:25:22,2017-09-24 17:25:38,1,0,6,Y,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-19 15:52:13,2017-09-19 15:52:55,1,0,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-15 20:55:24,2017-09-15 20:55:31,1,0,6,N,100,100,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-09 00:26:58,2017-09-09 00:27:14,2,0,6,N,100,100,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-31 22:38:43,2017-08-31 22:40:00,3,0,6,N,158,158,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-12 08:56:51,2017-08-12 08:57:03,1,0,6,Y,138,138,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-07 08:27:16,2017-08-07 08:27:16,1,0,6,N,141,264,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-19 10:19:43,2017-08-19 10:20:04,1,0,6,N,148,148,1,2.5,0,0.5,11.7,0,0.3,15
,1,2017-08-17 11:49:08,2017-08-17 11:49:34,1,1.7,6,N,45,45,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-02 09:22:06,2017-08-02 09:22:30,1,0,6,N,145,145,2,2.5,0,0.5,0,0,0.3,3.3
,2,2017-11-17 06:12:56,2017-11-17 06:13:10,1,0,6,N,264,264,1,5.5,0,0.5,15,0,0.3,21.3
,1,2017-11-26 16:08:13,2017-11-26 16:08:27,1,2.6,6,N,142,142,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-11-01 21:00:42,2017-11-01 21:00:51,1,16.8,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-11-05 03:49:12,2017-11-05 03:49:52,1,0,6,N,42,42,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-11-03 14:11:34,2017-11-03 14:11:36,1,0,6,N,142,142,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-11-09 08:44:02,2017-11-09 08:49:11,1,2.1,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-07-21 23:18:50,2017-07-21 23:31:47,2,0.6,6,N,186,164,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-07-18 18:24:55,2017-07-18 18:25:19,1,0.2,6,N,264,264,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-10-24 15:25:42,2017-10-24 15:25:48,1,0,6,N,236,236,1,5.5,0,0.5,7.5,0,0.3,13.8
,1,2017-10-01 14:05:33,2017-10-01 14:05:33,1,0,6,N,138,264,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-10-23 08:37:48,2017-10-23 08:37:55,0,0,6,N,74,74,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-01 16:05:24,2017-08-01 16:05:24,1,0,6,N,93,264,2,1.01,0,0.5,0,0,0.3,1.81
,1,2017-08-20 18:38:30,2017-08-20 18:38:30,1,0,6,N,68,264,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-08-09 19:21:08,2017-08-09 19:27:48,2,3.2,6,N,132,10,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-09 04:30:00,2017-08-09 04:30:09,1,0.1,6,N,48,48,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-10-18 01:13:09,2017-10-18 01:13:27,1,0,6,N,125,125,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-10-07 01:17:54,2017-10-07 01:17:58,1,0,6,N,68,68,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-10-10 23:06:45,2017-10-10 23:07:41,1,0,6,N,265,265,1,2.5,0,0.5,96.6,0,0.3,99.9
,1,2017-06-03 15:36:28,2017-06-03 15:41:59,1,0.3,6,N,148,114,2,5.5,0,0.5,0,0,0.3,6.3
,2,2017-06-06 11:44:12,2017-06-06 11:44:23,1,0,6,N,193,193,2,5,0.3,0.5,0,0,0,5.8
,1,2017-06-25 00:08:53,2017-06-25 00:08:59,1,0,6,N,100,100,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-24 15:50:40,2017-06-24 15:50:40,1,0,6,N,138,264,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-04 17:32:13,2017-06-04 17:32:25,1,0,6,N,231,231,1,2.5,0,0.5,60,0,0.3,63.3
,1,2017-07-07 13:58:31,2017-07-07 13:58:56,1,1,6,N,161,163,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-07-31 09:58:51,2017-07-31 09:59:01,1,0,6,N,193,193,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-07-31 10:41:31,2017-07-31 10:55:03,1,5.8,6,N,132,124,2,2.5,0,0.5,0,0,0.3,3.3
,2,2017-09-14 10:48:32,2017-09-14 10:50:53,1,0.39,6,N,260,260,2,0,0,0,0,0,0,0
,1,2017-05-02 06:47:07,2017-05-02 06:47:21,1,0,6,N,226,226,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-05-14 15:52:48,2017-05-14 15:53:04,1,0,6,N,90,90,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-12-09 07:49:44,2017-12-09 07:50:19,1,0,6,N,145,145,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-12-11 08:20:28,2017-12-11 08:20:41,1,0,6,N,247,247,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-12-09 12:46:10,2017-12-09 12:46:17,1,0,6,N,232,232,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-31 13:43:17,2017-08-31 13:43:26,1,0,6,N,132,132,2,5.5,0,0.5,0,0,0.3,6.3
,2,2017-08-24 08:14:33,2017-08-24 08:14:42,1,0,6,N,236,236,2,3.5,0,0.5,0,0,0.3,4.3
,1,2017-08-14 00:52:19,2017-08-14 00:52:23,1,0,6,N,79,79,2,2.5,0,0.5,0,0,0.3,3.3
,2,2017-12-27 16:04:51,2017-12-27 16:05:03,6,0,6,N,264,264,2,2.5,0.3,0.5,0,0,0,3.3
,1,2017-12-17 16:12:16,2017-12-17 16:12:20,1,0,6,N,125,125,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-12-21 11:29:55,2017-12-21 11:32:34,1,0,6,N,264,264,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-12-01 08:14:49,2017-12-01 08:52:56,1,11.8,6,N,138,79,1,2.5,0,0.5,30,11.52,0.3,44.82
,1,2017-12-07 23:34:43,2017-12-07 23:43:46,1,1.9,6,N,229,48,1,2.5,0,0.5,5,0,0.3,8.3
,2,2017-12-30 00:21:04,2017-12-31 00:15:26,1,1.06,6,N,234,249,2,7,0.5,0.5,0,0,0.3,8.3
,1,2017-12-22 16:12:58,2017-12-22 16:13:01,1,0,6,N,231,231,2,3.5,0,0.5,0,0,0.3,4.3
,1,2017-12-03 21:31:27,2017-12-03 21:31:35,1,10.7,6,N,265,265,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-12-28 14:57:23,2017-12-28 14:57:32,1,0,6,N,211,211,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-11-04 11:31:01,2017-11-04 11:31:01,1,0,6,N,138,264,2,5.5,0,0.5,0,0,0.3,6.3
,2,2017-11-09 00:17:26,2017-11-09 00:17:31,1,0,6,N,161,161,2,5.5,0,0.5,0,0,0.3,6.3
